method,seed,test_fold,n_edges,prevalence,reported_mcc,oracle_mcc,gap,auroc,auprc,pred_pos_rate_at_05,true_pos_rate_at_05,optimal_threshold,reported_threshold
B3_within,0,cic_ids2018,400000,0.0553375,0.2914298264362392,0.3494515385245523,0.05802171208831308,0.7920860660694153,0.2087403001953253,0.00519,0.9778420038535646,0.0075427815318107605,0.5
B3_within,0,lycos_ids2017,367497,0.6954560173280326,0.15869284650737908,0.864553977051499,0.7058611305441198,0.939235838695307,0.9664559275847845,0.054381396310718186,1.0,6.9720245202131714e-12,0.5
B3_within,0,ton_iot,400000,0.00199,0.0015857063774572888,0.033910505436668195,0.03232479905921091,0.6265597260281628,0.00239831932237152,0.25463,0.0021109060205003337,0.2392324060201645,0.5
B3_within,0,unsw_nb15,400000,0.24649,0.9519038973536365,0.9536723463932114,0.0017684490395749597,0.9988199523833501,0.9963846123316347,0.2546075,0.9484206081910391,4.965953849023208e-06,0.5
B3_within,1,cic_ids2018,400000,0.0553375,0.28926012619307373,0.2715905837469319,-0.017669542446141828,0.6504232275310461,0.16206289471660262,0.00526,0.964828897338403,0.3205508291721344,0.5
B3_within,1,lycos_ids2017,367497,0.6954560173280326,0.15875161875678548,0.97916874464952,0.8204171258927345,0.997700428580057,0.9984449608150437,0.0544194918597975,1.0,4.668825681619637e-07,0.5
B3_within,1,ton_iot,400000,0.00199,-0.008745057409861192,0.028086790833573908,0.0368318482434351,0.648102838656464,0.0026361928652722543,0.182415,0.0011649261299783462,0.2780120074748993,0.5
B3_within,1,unsw_nb15,400000,0.24649,0.9140843103808586,0.9510798318479712,0.0369955214671126,0.9978944529129954,0.9936381278576232,0.239465,0.9485415405174034,2.3875712518162118e-09,0.5
B3_within,2,cic_ids2018,400000,0.0553375,0.29293504193339015,0.5117465141822661,0.21881147224887598,0.869289335298663,0.3090631876348164,0.0052975,0.973100519112789,0.016599901020526886,0.5
B3_within,2,lycos_ids2017,367497,0.6954560173280326,0.8788949183084424,0.9983554885985614,0.11946057029011903,0.9999942533280811,0.9999973136932464,0.6382092915044204,0.9999957363349535,6.937065336387604e-05,0.5
B3_within,2,ton_iot,400000,0.00199,0.011913698912858088,0.03558920197315561,0.023675503060297524,0.6518469744741784,0.002588289780990816,0.33282,0.0027417222522684937,0.028556160628795624,0.5
B3_within,2,unsw_nb15,400000,0.24649,0.9076436234011502,0.947896937769516,0.04025331436836577,0.9978198475547329,0.9934935216431642,0.2330325,0.9561327282675164,3.435905568949238e-07,0.5
B4_raw,0,cic_ids2018,8392401,0.12144355351942787,0.0,0.0,0.0,0.3598386466318405,0.09391831073779135,0.0,0.0,1.0000412553012585e-06,0.5
B4_raw,0,lycos_ids2017,1837486,0.24044972315435328,0.060354254531122704,0.28118680680072444,0.22083255226960175,0.6284213188537117,0.28758532404981474,0.18869204989861146,0.29393255056688555,0.0012896365951746702,0.5
B4_raw,0,ton_iot,27520260,0.38982356998080686,0.002596470457348625,0.17905997840821655,0.17646350795086793,0.5042099138900287,0.35723394095315736,4.542108250430773e-06,0.984,9.916783728449956e-28,0.5
B4_raw,0,unsw_nb15,2538252,0.1258692990294108,-0.011771711305315768,0.07956493629635769,0.09133664760167345,0.4481617299578947,0.1198617252634243,0.000973898572718548,0.0008090614886731392,6.678177598688171e-31,0.5
B4_raw,1,cic_ids2018,8392401,0.12144355351942787,-0.0030506903500836426,0.2136185101128866,0.21666920046297025,0.6051427075301226,0.18462853906056365,6.732280785915735e-05,0.0,2.821519893658431e-18,0.5
B4_raw,1,lycos_ids2017,1837486,0.24044972315435328,0.30563787847293594,0.4557043683448409,0.15006648987190496,0.8182559400766817,0.5588951836792212,0.1314818180927637,0.5761519230450836,2.365445339602701e-10,0.5
B4_raw,1,ton_iot,27520260,0.38982356998080686,-0.00015236319636345507,0.06603268851337123,0.06618505170973468,0.22643943597174382,0.2677447434955144,3.6336866003446187e-08,0.0,1.2457847752613454e-28,0.5
B4_raw,1,unsw_nb15,2538252,0.1258692990294108,0.1818469946719989,0.21052179509200988,0.02867480042001097,0.5902089223724796,0.2343676649271237,0.015425970313428296,0.607764014812923,0.9993682503700256,0.5
B4_raw,2,cic_ids2018,8392401,0.12144355351942787,-0.00033955371475872896,0.002443980037953204,0.002783533752711933,0.46670431951958835,0.1052437013409341,8.340878849807105e-07,0.0,1.401298464324817e-45,0.5
B4_raw,2,lycos_ids2017,1837486,0.24044972315435328,0.0,0.5451317867178533,0.5451317867178533,0.8478699069871426,0.5115322625160833,0.0,0.0,2.0791893480155083e-25,0.5
B4_raw,2,ton_iot,27520260,0.38982356998080686,-0.011951229941994301,0.22245821142017558,0.23440944136216987,0.5727797713532594,0.41498848797429083,0.002824028552055831,0.28029542705679505,0.0,0.5
B4_raw,2,unsw_nb15,2538252,0.1258692990294108,-0.00481137647223484,0.0,0.00481137647223484,0.3481650209375186,0.1059458297551567,0.00016074054112830404,0.0,1.000001,0.5
B5_quant,0,cic_ids2018,8392401,0.12144355351942787,0.07919078963805867,0.2580135537236855,0.17882276408562683,0.6255864751435447,0.19077120902319789,0.07062555757285668,0.2152777543452367,0.004096801392734051,0.5
B5_quant,0,lycos_ids2017,1837486,0.24044972315435328,-0.18659212892137259,0.2854466064448989,0.4720387353662715,0.5587600040380138,0.23627559217764355,0.1321354285148295,0.036087760557173276,0.0025420659221708775,0.5
B5_quant,0,ton_iot,27520260,0.38982356998080686,0.041600990971047025,0.2675951364089733,0.22599414543792629,0.599346030613559,0.43917437618657673,0.03109120335345669,0.5030865856822628,1.7442887383367633e-06,0.5
B5_quant,0,unsw_nb15,2538252,0.1258692990294108,-0.19847965483729443,0.0,0.19847965483729443,0.23988070524516042,0.0773783009348535,0.23103261614686013,0.0057586810795693865,1.000001,0.5
B5_quant,1,cic_ids2018,8392401,0.12144355351942787,-0.0679053944825463,0.0,0.0679053944825463,0.2694354493379199,0.0790425348786177,0.05868296808029073,0.032607702475781285,1.000001,0.5
B5_quant,1,lycos_ids2017,1837486,0.24044972315435328,-0.2242050637371203,0.33829975951311975,0.5625048232502401,0.6283643644410232,0.2712889141280413,0.16987068200791733,0.02863824947538725,0.003857794450595975,0.5
B5_quant,1,ton_iot,27520260,0.38982356998080686,-0.10093914946041135,0.10353786475496585,0.2044770142153772,0.4553420978165581,0.3349166680102451,0.020342649379039297,0.04819455732492609,1.5456536051061676e-09,0.5
B5_quant,1,unsw_nb15,2538252,0.1258692990294108,-0.19030352382548085,0.0,0.19030352382548085,0.2666111712846492,0.08087802272715695,0.23795943034812933,0.012907263398570533,1.000001,0.5
B5_quant,2,cic_ids2018,8392401,0.12144355351942787,0.0008811583259233657,0.13430544087828916,0.1334242825523658,0.5956018954890081,0.15071711916807834,0.052105589330157125,0.12267117320045462,8.011993486434221e-07,0.5
B5_quant,2,lycos_ids2017,1837486,0.24044972315435328,-0.1909631393371654,0.2825392189460737,0.4735023582832391,0.5911042708867432,0.25240798078282334,0.15315599683480582,0.04854986461612809,0.0040503391064703465,0.5
B5_quant,2,ton_iot,27520260,0.38982356998080686,-0.05392129621507478,0.20297651703276265,0.25689781324783745,0.5556714254716735,0.3848474580528158,0.00843378659939986,0.10467470917707884,2.0479486920521595e-05,0.5
B5_quant,2,unsw_nb15,2538252,0.1258692990294108,-0.24642488974108887,0.0,0.24642488974108887,0.23762809066967988,0.07744361000101573,0.30448828563909336,0.00233157537897804,1.000001,0.5
E1.A,0,cic_ids2018,8392401,0.12144355351942787,0.0,0.0,0.0,0.35983820761259105,0.09391829226433299,0.0,0.0,1.0000412553775863e-06,0.5
E1.A,0,lycos_ids2017,1837486,0.24044972315435328,0.06035340513798592,0.28118979713321623,0.2208363919952303,0.6284213640537964,0.287585360031674,0.188692594120445,0.29393170281495157,0.0012896403204649687,0.5
E1.A,0,ton_iot,27520260,0.38982356998080686,0.002596470457348625,0.17906372242777233,0.1764672519704237,0.5042098728761979,0.357233917491384,4.542108250430773e-06,0.984,9.916972469584506e-28,0.5
E1.A,0,unsw_nb15,2538252,0.1258692990294108,-0.011771711305315768,0.07956493629635769,0.09133664760167345,0.44816183382695196,0.11986176726302278,0.000973898572718548,0.0008090614886731392,6.678177598688171e-31,0.5
E1.A,1,cic_ids2018,8392401,0.12144355351942787,-0.0030506903500836426,0.2136185101128866,0.21666920046297025,0.6051426487127419,0.18462839158711647,6.732280785915735e-05,0.0,2.821519893658431e-18,0.5
E1.A,1,lycos_ids2017,1837486,0.24044972315435328,0.30563787847293594,0.4557043683448409,0.15006648987190496,0.818255936158649,0.5588951290718176,0.1314818180927637,0.5761519230450836,2.3654589398347525e-10,0.5
E1.A,1,ton_iot,27520260,0.38982356998080686,-0.00015236319636345507,0.06603215633435303,0.06618451953071648,0.22643947805939937,0.26774475225188427,3.6336866003446187e-08,0.0,1.2457847752613454e-28,0.5
E1.A,1,unsw_nb15,2538252,0.1258692990294108,0.1818469946719989,0.21052179509200988,0.02867480042001097,0.5902089021585745,0.2343677585797142,0.015425970313428296,0.607764014812923,0.9993682503700256,0.5
E1.A,2,cic_ids2018,8392401,0.12144355351942787,-0.00033955371475872896,0.0034558760816385398,0.0037954297963972688,0.46670429190356394,0.10524371083625558,8.340878849807105e-07,0.0,1.401298464324817e-45,0.5
