method,seed,test_fold,reported_mcc,oracle_mcc,gap,cal_method,calibrated_mcc,oracle_recovery
E6.2_msa,1,cic_ids2018,0.3529165102756463,0.47109886945553653,0.11818235917989023,otsu,0.0975645114013698,-2.1606608689000253
E6.2_msa,1,cic_ids2018,0.3529165102756463,0.47109886945553653,0.11818235917989023,gmm,0.09754911791750184,-2.1607911208595794
E6.2_msa,1,cic_ids2018,0.3529165102756463,0.47109886945553653,0.11818235917989023,topk10,0.4587308086874513,0.8953476571807194
E6.2_msa,1,cic_ids2018,0.3529165102756463,0.47109886945553653,0.11818235917989023,topk20,0.3776431176817654,0.2092241818297239
E6.2_msa,1,cic_ids2018,0.3529165102756463,0.47109886945553653,0.11818235917989023,topk30,0.2592156431942428,-0.792849861279022
E6.2_msa,1,cic_ids2018,0.3529165102756463,0.47109886945553653,0.11818235917989023,topk40,0.17788089429942697,-1.4810638168915753
E6.2_msa,1,cic_ids2018,0.3529165102756463,0.47109886945553653,0.11818235917989023,prevalence_transfer,0.47132161054185207,1.0018847236411696
E10.1_gib_b1.0,0,lycos_ids2017,-0.10276046716470043,0.18096190361873782,0.28372237078343826,otsu,-0.11880475865858549,-0.05654926486615138
E10.1_gib_b1.0,0,lycos_ids2017,-0.10276046716470043,0.18096190361873782,0.28372237078343826,gmm,-0.1598286805823509,-0.20114104242139552
E10.1_gib_b1.0,0,lycos_ids2017,-0.10276046716470043,0.18096190361873782,0.28372237078343826,topk10,-0.15816959631941294,-0.19529348003723543
E10.1_gib_b1.0,0,lycos_ids2017,-0.10276046716470043,0.18096190361873782,0.28372237078343826,topk20,-0.25907516215248805,-0.5509424391039671
E10.1_gib_b1.0,0,lycos_ids2017,-0.10276046716470043,0.18096190361873782,0.28372237078343826,topk30,-0.16787156463863606,-0.22948876852447467
E10.1_gib_b1.0,0,lycos_ids2017,-0.10276046716470043,0.18096190361873782,0.28372237078343826,topk40,0.09670479525509595,0.7030297324423732
E10.1_gib_b1.0,0,lycos_ids2017,-0.10276046716470043,0.18096190361873782,0.28372237078343826,prevalence_transfer,-0.294434177216815,-0.675567843039126
E10.1_gib_b0.001,0,lycos_ids2017,-0.041300051983607595,0.09097257969264844,0.13227263167625603,otsu,-0.07732277531150196,-0.2723369367599929
E10.1_gib_b0.001,0,lycos_ids2017,-0.041300051983607595,0.09097257969264844,0.13227263167625603,gmm,-0.1574358017338851,-0.8780028663414338
E10.1_gib_b0.001,0,lycos_ids2017,-0.041300051983607595,0.09097257969264844,0.13227263167625603,topk10,-0.10158554593228006,-0.4557669503108116
E10.1_gib_b0.001,0,lycos_ids2017,-0.041300051983607595,0.09097257969264844,0.13227263167625603,topk20,-0.12823036254143977,-0.6572055719780228
E10.1_gib_b0.001,0,lycos_ids2017,-0.041300051983607595,0.09097257969264844,0.13227263167625603,topk30,-0.01144900141381686,0.2256782086475205
E10.1_gib_b0.001,0,lycos_ids2017,-0.041300051983607595,0.09097257969264844,0.13227263167625603,topk40,0.0460144004266526,0.6601097392842894
E10.1_gib_b0.001,0,lycos_ids2017,-0.041300051983607595,0.09097257969264844,0.13227263167625603,prevalence_transfer,-0.08478050853636641,-0.32871846580613473
E1.C,1,cic_ids2018,-0.22674500115993776,0.008348193053017169,0.23509319421295494,otsu,-0.23940017277511083,-0.05383044650671432
