experiment_id,seed,test_fold,p11_reported_0.5,p11_topk_src_rate,p11_otsu,p11_gmm,p11_topk_10pct,p11_topk_20pct,p11_topk_30pct,p11_oracle,val_anchor,znorm_val,platt,bbse,gmm_logit,ensemble,oracle_mcc,auroc
experiment_id,seed,test_fold,p11_reported_0.5,p11_topk_src_rate,p11_otsu,p11_gmm,p11_topk_10pct,p11_topk_20pct,p11_topk_30pct,p11_oracle,val_anchor,znorm_val,platt,bbse,gmm_logit,ensemble,oracle_mcc,auroc
E12.1_ts_gib_b0.001,0,cic_ids2018,0.624067,0.514392,0.303599,0.298532,0.624838,0.624838,0.511599,0.624657,0.624706,0.624706,0.202355,0.199249,0.301736,0.514392,0.624657,0.892687
E12.1_ts_gib_b0.001,0,lycos_ids2017,-0.054094,0.036963,-0.053034,-0.053203,0.036963,0.036963,0.036963,0.355293,-0.048989,-0.048989,-0.024565,0.000835,0.185433,-0.053034,0.355293,0.649606
E12.1_ts_gib_b0.001,0,unsw_nb15,0.036210,0.005771,0.055755,0.054894,0.378753,0.005771,0.005771,0.506241,0.039316,0.039316,0.000000,0.005771,0.056817,0.039361,0.506241,0.739745
E12.1_ts_gib_b0.01,0,cic_ids2018,0.600552,0.545512,0.489727,0.489071,0.425032,0.629688,0.499844,0.635217,0.600517,0.600517,0.000000,0.112989,0.491899,0.545512,0.635217,0.904094
E12.1_ts_gib_b0.01,0,lycos_ids2017,-0.083815,0.592795,0.179131,0.161408,0.240494,0.592795,0.359859,0.686811,-0.004434,-0.004434,0.000000,0.005626,0.138750,0.592795,0.686811,0.802252
E12.1_ts_gib_b0.01,0,unsw_nb15,0.056554,-0.032252,0.056842,0.056999,0.362805,-0.032252,-0.032252,0.505204,0.055761,0.055761,0.000000,-0.032252,0.060152,0.055594,0.505204,0.729615
E12.1_ts_gib_b0.1,0,cic_ids2018,0.603225,0.577215,0.606944,0.608352,0.432252,0.613845,0.461508,0.632502,0.630524,0.630524,0.000000,0.401353,0.608424,0.606944,0.632502,0.920730
E12.1_ts_gib_b0.1,0,lycos_ids2017,-0.062506,-0.316146,-0.081573,-0.083066,-0.316146,-0.316146,-0.351132,0.358261,-0.006620,-0.006620,0.029553,0.002627,-0.083231,-0.081573,0.358261,0.529389
E12.1_ts_gib_b0.1,0,unsw_nb15,0.056594,0.013576,0.059338,0.057355,0.437374,0.013576,0.013576,0.511235,0.049460,0.049460,0.000000,0.013576,0.060339,0.044354,0.511235,0.757727
E12.2_ts_gib_anomaly_b0.01,0,lycos_ids2017,-0.108382,-0.214321,-0.213687,-0.176359,-0.117661,-0.217792,-0.180266,0.089026,0.000000,0.000000,0.000000,-0.214321,-0.107162,-0.214321,0.089026,0.414550
E8.1_ts_sage_d60,0,cic_ids2018,0.597962,0.545331,0.591218,0.591908,0.130033,0.545331,0.521705,0.631973,0.618040,0.618040,-0.019704,-0.033207,0.239596,0.612939,0.631973,0.879828
E8.1_ts_sage_d60,0,lycos_ids2017,-0.125728,-0.067914,-0.124341,-0.128446,-0.155579,-0.067914,-0.182449,0.177111,-0.015367,-0.015367,-0.184324,-0.078643,-0.123203,-0.067914,0.177111,0.412930
E8.1_ts_sage_d60,0,unsw_nb15,0.004619,-0.202212,0.014749,0.014294,-0.202212,-0.202212,-0.138252,0.215306,0.002509,0.002509,0.000000,0.036906,0.027308,0.002509,0.215306,0.517322
E13.1_ts_gib_raw_b0.01,0,cic_ids2018,0.000000,0.576793,0.475983,0.396533,0.354776,0.524700,0.509198,0.625685,0.000000,0.000000,0.000000,-0.029058,0.281331,0.576793,0.625685,0.879593
