experiment_id,seed,train_datasets,test_dataset,metric,value,wall_clock_sec
B1_RF,0,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,mcc,0.022417663341381202,90.39822101593018
B1_RF,0,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,macro_f1,0.5094487639508298,90.39822101593018
B1_RF,0,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Reconnaissance,0.10848390581506367,90.39822101593018
B1_RF,0,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_DoS_DDoS,0.22371358698364638,90.39822101593018
B1_RF,0,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Injection_Exploit,0.0,90.39822101593018
B1_RF,0,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_BruteForce,0.0,90.39822101593018
B1_RF,0,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Botnet_C2,0.004589369227671465,90.39822101593018
B1_RF,1,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,mcc,0.019649524868747645,89.39419198036194
B1_RF,1,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,macro_f1,0.5082404827426469,89.39419198036194
B1_RF,1,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Reconnaissance,0.10077427783487572,89.39419198036194
B1_RF,1,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_DoS_DDoS,0.22740486345029431,89.39419198036194
B1_RF,1,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Injection_Exploit,0.0,89.39419198036194
B1_RF,1,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_BruteForce,2.9179402259944704e-05,89.39419198036194
B1_RF,1,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Botnet_C2,0.004506375923077211,89.39419198036194
B1_RF,2,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,mcc,0.03859333224357612,89.11181211471558
B1_RF,2,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,macro_f1,0.5179142282131687,89.11181211471558
B1_RF,2,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Reconnaissance,0.13474333766370564,89.11181211471558
B1_RF,2,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_DoS_DDoS,0.2261925411968777,89.11181211471558
B1_RF,2,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Injection_Exploit,0.0,89.11181211471558
B1_RF,2,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_BruteForce,2.9280969200080524e-05,89.11181211471558
B1_RF,2,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Botnet_C2,0.004537464128491368,89.11181211471558
B1_RF,0,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,mcc,-0.020120871218260273,94.96854281425476
B1_RF,0,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,macro_f1,0.4836131359885835,94.96854281425476
B1_RF,0,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Reconnaissance,0.0,94.96854281425476
B1_RF,0,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_DoS_DDoS,0.07311073396769703,94.96854281425476
B1_RF,0,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Injection_Exploit,0.004852698541543511,94.96854281425476
B1_RF,0,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_BruteForce,0.0033952812763388346,94.96854281425476
B1_RF,0,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Botnet_C2,0.0,94.96854281425476
B1_RF,1,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,mcc,-0.01053335284658056,93.3341429233551
B1_RF,1,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,macro_f1,0.4883836363169714,93.3341429233551
B1_RF,1,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Reconnaissance,0.0,93.3341429233551
B1_RF,1,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_DoS_DDoS,0.08400203723614963,93.3341429233551
B1_RF,1,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Injection_Exploit,0.004536096863114554,93.3341429233551
B1_RF,1,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_BruteForce,0.006159714284022057,93.3341429233551
B1_RF,1,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Botnet_C2,0.0,93.3341429233551
B1_RF,2,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,mcc,-0.011762848951481681,93.53699994087219
B1_RF,2,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,macro_f1,0.4878414083692786,93.53699994087219
B1_RF,2,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Reconnaissance,0.0,93.53699994087219
B1_RF,2,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_DoS_DDoS,0.08413242439079507,93.53699994087219
B1_RF,2,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Injection_Exploit,0.004641379550116469,93.53699994087219
B1_RF,2,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_BruteForce,0.0038095238095238095,93.53699994087219
B1_RF,2,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Botnet_C2,0.0,93.53699994087219
B1_RF,0,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,mcc,0.046861217263150484,86.28460597991943
B1_RF,0,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,macro_f1,0.4743516425497413,86.28460597991943
B1_RF,0,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Reconnaissance,0.0006392227051904884,86.28460597991943
B1_RF,0,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_DoS_DDoS,0.00203916491341641,86.28460597991943
B1_RF,0,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Injection_Exploit,0.06219767344547661,86.28460597991943
B1_RF,0,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_BruteForce,0.0,86.28460597991943
B1_RF,0,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Botnet_C2,0.004554326610279766,86.28460597991943
B1_RF,1,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,mcc,0.04021772389419268,93.84139394760132
B1_RF,1,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,macro_f1,0.47298361650606163,93.84139394760132
B1_RF,1,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Reconnaissance,0.001033524966087462,93.84139394760132
B1_RF,1,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_DoS_DDoS,0.0011775890754305222,93.84139394760132
B1_RF,1,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Injection_Exploit,0.05351723207661698,93.84139394760132
B1_RF,1,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_BruteForce,0.0,93.84139394760132
B1_RF,1,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Botnet_C2,0.0041279669762641896,93.84139394760132
B1_RF,2,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,mcc,0.048663634523190925,89.85217571258545
B1_RF,2,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,macro_f1,0.47474636931035946,89.85217571258545
B1_RF,2,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Reconnaissance,0.0008920038228735266,89.85217571258545
B1_RF,2,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_DoS_DDoS,0.0028787527561092634,89.85217571258545
B1_RF,2,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Injection_Exploit,0.06285943560251438,89.85217571258545
B1_RF,2,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_BruteForce,0.0,89.85217571258545
B1_RF,2,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Botnet_C2,0.003843689942344651,89.85217571258545
B1_RF,0,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,mcc,0.01885172142444033,107.75160717964172
B1_RF,0,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,macro_f1,0.3919000084871286,107.75160717964172
B1_RF,0,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,f1_Reconnaissance,0.006929274843330349,107.75160717964172
B1_RF,0,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,f1_DoS_DDoS,0.01676372511115407,107.75160717964172
B1_RF,0,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,f1_Injection_Exploit,0.02172936912665576,107.75160717964172
B1_RF,0,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,f1_BruteForce,0.08093167794660332,107.75160717964172
B1_RF,0,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,f1_Botnet_C2,0.0,107.75160717964172
B1_RF,1,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,mcc,0.03866182102389538,106.87687301635742
B1_RF,1,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,macro_f1,0.3914385381195509,106.87687301635742
B1_RF,1,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,f1_Reconnaissance,0.006303076052085299,106.87687301635742
B1_RF,1,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,f1_DoS_DDoS,0.016860649162653323,106.87687301635742
B1_RF,1,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,f1_Injection_Exploit,0.014496633239297407,106.87687301635742
B1_RF,1,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,f1_BruteForce,0.08165114680332479,106.87687301635742
B1_RF,1,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,f1_Botnet_C2,0.0,106.87687301635742
B1_RF,2,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,mcc,0.05852718896930051,112.33065295219421
B1_RF,2,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,macro_f1,0.3929640986246466,112.33065295219421
B1_RF,2,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,f1_Reconnaissance,0.006522917311861258,112.33065295219421
B1_RF,2,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,f1_DoS_DDoS,0.017042373537841816,112.33065295219421
B1_RF,2,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,f1_Injection_Exploit,0.0162676041688336,112.33065295219421
B1_RF,2,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,f1_BruteForce,0.09110122358175751,112.33065295219421
B1_RF,2,lycos_ids2017|cic_ids2018|unsw_nb15,ton_iot,f1_Botnet_C2,0.0,112.33065295219421
B3_within,0,lycos_ids2017,lycos_ids2017,mcc,0.998467775793652,490.5452358722687
B3_within,0,lycos_ids2017,lycos_ids2017,macro_f1,0.9992333006402562,490.5452358722687
