experiment_id,seed,train_datasets,test_dataset,metric,value,wall_clock_sec
B1_RF,0,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,mcc,0.02218563824173972,95.60300588607788
B1_RF,0,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,macro_f1,0.5100329705825413,95.60300588607788
B1_RF,0,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Reconnaissance,0.12910444881737856,95.60300588607788
B1_RF,0,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_DoS_DDoS,0.21479901665499895,95.60300588607788
B1_RF,0,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Injection_Exploit,0.0,95.60300588607788
B1_RF,0,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_BruteForce,2.810844237066603e-05,95.60300588607788
B1_RF,0,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Botnet_C2,0.004344004841080022,95.60300588607788
B1_RF,1,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,mcc,0.05794243142684673,94.0752260684967
B1_RF,1,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,macro_f1,0.5278425728669319,94.0752260684967
B1_RF,1,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Reconnaissance,0.16137019776607592,94.0752260684967
B1_RF,1,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_DoS_DDoS,0.2308531177311694,94.0752260684967
B1_RF,1,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Injection_Exploit,0.0,94.0752260684967
B1_RF,1,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_BruteForce,2.195196909162752e-05,94.0752260684967
B1_RF,1,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Botnet_C2,0.0045280978609806375,94.0752260684967
B1_RF,2,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,mcc,0.08086965742818285,94.63599514961243
B1_RF,2,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,macro_f1,0.5399080262070417,94.63599514961243
B1_RF,2,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Reconnaissance,0.20739700857788743,94.63599514961243
B1_RF,2,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_DoS_DDoS,0.22802576709016859,94.63599514961243
B1_RF,2,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Injection_Exploit,0.0,94.63599514961243
B1_RF,2,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_BruteForce,4.957893320301157e-05,94.63599514961243
B1_RF,2,cic_ids2018|unsw_nb15|ton_iot,lycos_ids2017,f1_Botnet_C2,0.004386538266010138,94.63599514961243
B1_RF,0,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,mcc,-0.02188627743866574,105.35000443458557
B1_RF,0,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,macro_f1,0.4825684777599865,105.35000443458557
B1_RF,0,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Reconnaissance,0.0,105.35000443458557
B1_RF,0,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_DoS_DDoS,0.06835850305577364,105.35000443458557
B1_RF,0,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Injection_Exploit,0.004496193461710703,105.35000443458557
B1_RF,0,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_BruteForce,0.00627027287745234,105.35000443458557
B1_RF,0,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Botnet_C2,0.0,105.35000443458557
B1_RF,1,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,mcc,-0.026704730450402288,108.45498991012573
B1_RF,1,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,macro_f1,0.48011268056451994,108.45498991012573
B1_RF,1,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Reconnaissance,0.0,108.45498991012573
B1_RF,1,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_DoS_DDoS,0.06317292433759995,108.45498991012573
B1_RF,1,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Injection_Exploit,0.004443033957473818,108.45498991012573
B1_RF,1,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_BruteForce,0.003919539880101032,108.45498991012573
B1_RF,1,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Botnet_C2,0.0,108.45498991012573
B1_RF,2,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,mcc,-0.020060384938929643,107.63905501365662
B1_RF,2,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,macro_f1,0.4835608234104784,107.63905501365662
B1_RF,2,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Reconnaissance,0.0,107.63905501365662
B1_RF,2,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_DoS_DDoS,0.07256954007160561,107.63905501365662
B1_RF,2,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Injection_Exploit,0.0046869174640935965,107.63905501365662
B1_RF,2,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_BruteForce,0.0038642704989349254,107.63905501365662
B1_RF,2,lycos_ids2017|unsw_nb15|ton_iot,cic_ids2018,f1_Botnet_C2,0.0,107.63905501365662
B1_RF,0,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,mcc,0.04369704911528538,101.91914987564087
B1_RF,0,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,macro_f1,0.47365372507014775,101.91914987564087
B1_RF,0,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Reconnaissance,0.0005148005148005148,101.91914987564087
B1_RF,0,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_DoS_DDoS,0.0012311546935072789,101.91914987564087
B1_RF,0,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Injection_Exploit,0.05898555592878737,101.91914987564087
B1_RF,0,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_BruteForce,0.0,101.91914987564087
B1_RF,0,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Botnet_C2,0.00404040404040404,101.91914987564087
B1_RF,1,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,mcc,0.04243703295431682,101.56436610221863
B1_RF,1,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,macro_f1,0.473384339880889,101.56436610221863
B1_RF,1,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Reconnaissance,0.0005161290322580645,101.56436610221863
B1_RF,1,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_DoS_DDoS,0.0012314206705841687,101.56436610221863
B1_RF,1,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Injection_Exploit,0.05677171846342818,101.56436610221863
B1_RF,1,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_BruteForce,0.0,101.56436610221863
B1_RF,1,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Botnet_C2,0.004095563139931741,101.56436610221863
B1_RF,2,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,mcc,0.05431406716756019,100.50564002990723
B1_RF,2,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,macro_f1,0.47577702650631154,100.50564002990723
B1_RF,2,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Reconnaissance,0.009648955754459468,100.50564002990723
B1_RF,2,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_DoS_DDoS,0.003008118685915751,100.50564002990723
B1_RF,2,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Injection_Exploit,0.06852284094698233,100.50564002990723
B1_RF,2,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_BruteForce,0.0,100.50564002990723
B1_RF,2,lycos_ids2017|cic_ids2018|ton_iot,unsw_nb15,f1_Botnet_C2,0.00513973658849984,100.50564002990723
